scientific_name,url,latitude,longitude,hyperlink,population_id,polymorphic,color1,color2,color3,notes
Leptosiphon minimus,https://www.inaturalist.org/observations/19390377,49.04853664,-123.6175176,https://www.inaturalist.org/observations/19390377,1,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/27733914,48.40283833,-122.6432183,https://www.inaturalist.org/observations/27733914,2,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/87239015,48.57566389,-123.1299444,https://www.inaturalist.org/observations/87239015,3,0,pink,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/87239018,48.56918611,-123.1324389,https://www.inaturalist.org/observations/87239018,3,0,pink,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/112760910,48.40075,-122.6375806,https://www.inaturalist.org/observations/112760910,2,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/115941831,48.40281111,-122.6427861,https://www.inaturalist.org/observations/115941831,2,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/115950257,48.40107,-122.6372347,https://www.inaturalist.org/observations/115950257,2,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/121004051,48.40221703,-122.6381841,https://www.inaturalist.org/observations/121004051,2,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/121793064,49.050144,-123.616829,https://www.inaturalist.org/observations/121793064,1,0,pink,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/121793096,49.050129,-123.617043,https://www.inaturalist.org/observations/121793096,1,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/121793133,49.049511,-123.616142,https://www.inaturalist.org/observations/121793133,1,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/121957969,48.57624167,-123.1293638,https://www.inaturalist.org/observations/121957969,3,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/122121874,48.56493,-123.1268222,https://www.inaturalist.org/observations/122121874,3,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/122121907,48.567445,-123.1174167,https://www.inaturalist.org/observations/122121907,3,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/122121958,48.57761333,-123.1249555,https://www.inaturalist.org/observations/122121958,3,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/122121986,48.565925,-123.1200028,https://www.inaturalist.org/observations/122121986,3,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/122565703,48.64474167,-122.84742,https://www.inaturalist.org/observations/122565703,4,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/126283212,48.56190333,-123.1233667,https://www.inaturalist.org/observations/126283212,3,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/126283316,48.56278667,-123.1219722,https://www.inaturalist.org/observations/126283316,3,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/126283395,48.56321333,-123.121575,https://www.inaturalist.org/observations/126283395,3,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/154270805,48.55267778,-122.9791278,https://www.inaturalist.org/observations/154270805,5,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/161015541,48.4013696,-122.6395392,https://www.inaturalist.org/observations/161015541,2,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/163515512,48.48430556,-122.8717194,https://www.inaturalist.org/observations/163515512,6,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/163515520,48.48543056,-122.874725,https://www.inaturalist.org/observations/163515520,6,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/163515525,48.48610556,-122.8741528,https://www.inaturalist.org/observations/163515525,6,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/163515531,48.48898889,-122.8700722,https://www.inaturalist.org/observations/163515531,6,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/163683700,48.65205,-122.8472667,https://www.inaturalist.org/observations/163683700,4,closed,closed,,,pop of ~1000
Leptosiphon minimus,https://www.inaturalist.org/observations/164151183,48.65214444,-122.8473583,https://www.inaturalist.org/observations/164151183,4,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/176980933,48.40081333,-122.63755,https://www.inaturalist.org/observations/176980933,2,closed,closed,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/216590833,48.40123611,-122.6381611,https://www.inaturalist.org/observations/216590833,2,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/283247050,48.56097,-122.9752717,https://www.inaturalist.org/observations/283247050,5,1,white,pink,,
Leptosiphon minimus,https://www.inaturalist.org/observations/284155438,48.65263667,-122.8454133,https://www.inaturalist.org/observations/284155438,4,0,white,,,
Leptosiphon minimus,https://www.inaturalist.org/observations/287188484,48.55263889,-122.97905,https://www.inaturalist.org/observations/287188484,5,1,pink,white,,
Leptosiphon minimus,https://www.inaturalist.org/observations/287449637,48.55268611,-122.9791556,https://www.inaturalist.org/observations/287449637,5,1,pink,white,,
